plan_kodu,yerel_kod,yerel_ad,grup_kod,not
VUK_TDHP,100,Kasa,1010,
VUK_TDHP,102,Bankalar,1010,
VUK_TDHP,108,Diğer Hazır Değerler,1010,
VUK_TDHP,120,Alıcılar,1020,
VUK_TDHP,121,Alacak Senetleri,1020,
VUK_TDHP,128,Şüpheli Ticari Alacaklar,1020,
VUK_TDHP,133,Bağlı Ortaklıklardan Alacaklar,1025,Grup içi
VUK_TDHP,150,İlk Madde ve Malzeme,1030,
VUK_TDHP,151,Yarı Mamuller,1030,
VUK_TDHP,152,Mamuller,1030,
VUK_TDHP,153,Ticari Mallar,1030,
VUK_TDHP,180,Gelecek Aylara Ait Giderler,1040,
VUK_TDHP,191,İndirilecek KDV,1040,
VUK_TDHP,253,Tesis Makine ve Cihazlar,1510,
VUK_TDHP,254,Taşıtlar,1510,
VUK_TDHP,255,Demirbaşlar,1510,
VUK_TDHP,257,Birikmiş Amortismanlar,1520,
VUK_TDHP,260,Haklar,1530,
VUK_TDHP,300,Banka Kredileri,2020,
VUK_TDHP,320,Satıcılar,2010,
VUK_TDHP,321,Borç Senetleri,2010,
VUK_TDHP,333,Bağlı Ortaklıklara Borçlar,2015,Grup içi
VUK_TDHP,335,Personele Borçlar,2030,
VUK_TDHP,360,Ödenecek Vergi ve Fonlar,2040,
VUK_TDHP,361,Ödenecek Sosyal Güvenlik Kesintileri,2030,
VUK_TDHP,391,Hesaplanan KDV,2040,
VUK_TDHP,400,Uzun Vadeli Banka Kredileri,2510,
VUK_TDHP,472,Kıdem Tazminatı Karşılığı,2520,
VUK_TDHP,500,Sermaye,3010,
VUK_TDHP,520,Hisse Senedi İhraç Primleri,3020,
VUK_TDHP,570,Geçmiş Yıllar Kârları,3030,
VUK_TDHP,600,Yurtiçi Satışlar,4010,
VUK_TDHP,601,Yurtdışı Satışlar,4020,
VUK_TDHP,602,Grup İçi Satışlar,4025,Grup içi
VUK_TDHP,610,Satıştan İadeler,4090,
VUK_TDHP,611,Satış İskontoları,4090,
VUK_TDHP,620,Satılan Mamuller Maliyeti,5010,
VUK_TDHP,621,Satılan Ticari Mallar Maliyeti,5010,
VUK_TDHP,622,Grup İçi Alımların Maliyeti,5025,Grup içi
VUK_TDHP,760,Pazarlama Satış ve Dağıtım Giderleri,6030,
VUK_TDHP,770.01,Genel Yönetim - Personel,6010,7/A alt kırılım
VUK_TDHP,770.02,Genel Yönetim - Kira,6020,7/A alt kırılım
VUK_TDHP,770.03,Genel Yönetim - Danışmanlık,6060,7/A alt kırılım
VUK_TDHP,770.04,Genel Yönetim - Diğer,6040,7/A alt kırılım
VUK_TDHP,780,Finansman Giderleri,7020,
VUK_TDHP,642,Faiz Gelirleri,7010,
VUK_TDHP,646,Kambiyo Kârları,7030,
VUK_TDHP,656,Kambiyo Zararları,7030,
VUK_TDHP,257.9,Dönem Amortisman Gideri,6050,
VUK_TDHP,691,Dönem Kârı Vergi Karşılıkları,8010,
SKR04,1600,Kasse,1010,
SKR04,1800,Bank,1010,
SKR04,1200,Forderungen aus Lieferungen und Leistungen,1020,
SKR04,1210,Forderungen gegen verbundene Unternehmen,1025,Grup içi
SKR04,1140,Waren,1030,
SKR04,1370,Aktive Rechnungsabgrenzung,1040,
SKR04,0650,Betriebs- und Geschäftsausstattung,1510,
SKR04,0520,Fuhrpark,1510,
SKR04,0690,Kumulierte Abschreibungen,1520,
SKR04,3300,Verbindlichkeiten aus Lieferungen und Leistungen,2010,
SKR04,3310,Verbindlichkeiten gegen verbundene Unternehmen,2015,Grup içi
SKR04,3500,Verbindlichkeiten gegenüber Kreditinstituten,2020,
SKR04,3720,Verbindlichkeiten aus Lohn und Gehalt,2030,
SKR04,3800,Umsatzsteuer,2040,
SKR04,3550,Langfristige Bankverbindlichkeiten,2510,
SKR04,3970,Pensionsrückstellungen,2520,
SKR04,2000,Gezeichnetes Kapital,3010,
SKR04,2100,Kapitalrücklage,3020,
SKR04,2970,Gewinnvortrag,3030,
SKR04,4000,Umsatzerlöse Inland,4010,
SKR04,4400,Umsatzerlöse Ausland,4020,
SKR04,4450,Umsatzerlöse verbundene Unternehmen,4025,Grup içi
SKR04,4700,Erlösschmälerungen,4090,
SKR04,5200,Wareneinsatz,5010,
SKR04,5250,Wareneinsatz verbundene Unternehmen,5025,Grup içi
SKR04,6000,Löhne und Gehälter,6010,
SKR04,6310,Miete,6020,
SKR04,6600,Werbekosten,6030,
SKR04,6800,Sonstige betriebliche Aufwendungen,6040,
SKR04,6825,Rechts- und Beratungskosten,6060,
SKR04,6200,Abschreibungen,6050,
SKR04,7100,Zinserträge,7010,
SKR04,7300,Zinsaufwendungen,7020,
SKR04,7500,Währungsdifferenzen,7030,
SKR04,7600,Steuern vom Einkommen und Ertrag,8010,
UK_COA,1200,Bank Current Account,1010,
UK_COA,1210,Petty Cash,1010,
UK_COA,1100,Trade Debtors,1020,
UK_COA,1110,Intercompany Debtors,1025,Grup içi
UK_COA,1001,Stock,1030,
UK_COA,1103,Prepayments,1040,
UK_COA,0050,Office Equipment,1510,
UK_COA,0051,Accumulated Depreciation,1520,
UK_COA,2100,Trade Creditors,2010,
UK_COA,2110,Intercompany Creditors,2015,Grup içi
UK_COA,2300,Bank Loan,2020,
UK_COA,2220,Net Wages Control,2030,
UK_COA,2200,Sales Tax Control,2040,
UK_COA,2310,Long Term Bank Loan,2510,
UK_COA,2330,Provisions,2520,
UK_COA,3000,Ordinary Shares,3010,
UK_COA,3010,Share Premium,3020,
UK_COA,3200,Profit and Loss Account,3030,
UK_COA,4000,Sales - UK,4010,
UK_COA,4010,Sales - Export,4020,
UK_COA,4020,Sales - Intercompany,4025,Grup içi
UK_COA,4009,Discounts Allowed,4090,
UK_COA,5000,Cost of Sales,5010,
UK_COA,5010,Cost of Sales - Intercompany,5025,Grup içi
UK_COA,7000,Gross Wages,6010,
UK_COA,7100,Rent,6020,
UK_COA,6200,Advertising,6030,
UK_COA,7500,Office Costs,6040,
UK_COA,7600,Legal and Professional,6060,
UK_COA,8000,Depreciation,6050,
UK_COA,7901,Bank Interest Received,7010,
UK_COA,7900,Bank Interest Paid,7020,
UK_COA,7906,Exchange Rate Variance,7030,
UK_COA,8500,Corporation Tax,8010,
# --- TDHP tam ana hesap seti (gercek mizanlar icin) ---
VUK_TDHP,101,"Alınan Çekler",1010,
VUK_TDHP,103,"Verilen Çekler ve Ödeme Emirleri (-)",1010,
VUK_TDHP,110,"Hisse Senetleri",1040,
VUK_TDHP,111,"Özel Kesim Tahvil, Senet ve Bonoları",1040,
VUK_TDHP,112,"Kamu Kesimi Tahvil, Senet ve Bonoları",1040,
VUK_TDHP,118,"Diğer Menkul Kıymetler",1040,
VUK_TDHP,119,"Menkul Kıymetler Değer Düşüklüğü Karşılığı (-)",1040,
VUK_TDHP,122,"Alacak Senetleri Reeskontu (-)",1020,
VUK_TDHP,124,"Kazanılmamış Finansal Kiralama Faiz Gelirleri (-)",1020,
VUK_TDHP,126,"Verilen Depozito ve Teminatlar",1040,
VUK_TDHP,127,"Diğer Ticari Alacaklar",1020,
VUK_TDHP,129,"Şüpheli Ticari Alacaklar Karşılığı (-)",1020,
VUK_TDHP,131,"Ortaklardan Alacaklar",1040,
VUK_TDHP,132,"İştiraklerden Alacaklar",1025,
VUK_TDHP,135,"Personelden Alacaklar",1040,
VUK_TDHP,136,"Diğer Çeşitli Alacaklar",1040,
VUK_TDHP,137,"Diğer Alacak Senetleri Reeskontu (-)",1040,
VUK_TDHP,138,"Şüpheli Diğer Alacaklar",1040,
VUK_TDHP,139,"Şüpheli Diğer Alacaklar Karşılığı (-)",1040,
VUK_TDHP,157,"Diğer Stoklar",1030,
VUK_TDHP,158,"Stok Değer Düşüklüğü Karşılığı (-)",1030,
VUK_TDHP,159,"Verilen Sipariş Avansları",1040,
VUK_TDHP,170,"Yıllara Yaygın İnşaat ve Onarım Maliyetleri",1030,
VUK_TDHP,181,"Gelir Tahakkukları",1040,
VUK_TDHP,190,"Devreden Katma Değer Vergisi",1040,
VUK_TDHP,192,"Diğer KDV",1040,
VUK_TDHP,193,"Peşin Ödenen Vergiler ve Fonlar",1040,
VUK_TDHP,195,"İş Avansları",1040,
VUK_TDHP,196,"Personel Avansları",1040,
VUK_TDHP,197,"Sayım ve Tesellüm Noksanları",1040,
VUK_TDHP,198,"Diğer Çeşitli Dönen Varlıklar",1040,
VUK_TDHP,220,"Alıcılar (Uzun Vadeli)",1040,
VUK_TDHP,221,"Alacak Senetleri (Uzun Vadeli)",1040,
VUK_TDHP,226,"Verilen Depozito ve Teminatlar (Uzun Vadeli)",1550,
VUK_TDHP,240,"Bağlı Menkul Kıymetler",1550,
VUK_TDHP,242,"İştirakler",1550,
VUK_TDHP,245,"Bağlı Ortaklıklar",1550,
VUK_TDHP,250,"Arazi ve Arsalar",1510,
VUK_TDHP,251,"Yer Altı ve Yer Üstü Düzenleri",1510,
VUK_TDHP,252,"Binalar",1510,
VUK_TDHP,256,"Diğer Maddi Duran Varlıklar",1510,
VUK_TDHP,258,"Yapılmakta Olan Yatırımlar",1510,
VUK_TDHP,259,"Verilen Avanslar (Duran Varlık)",1510,
VUK_TDHP,261,"Şerefiye",1530,
VUK_TDHP,262,"Kuruluş ve Örgütlenme Giderleri",1530,
VUK_TDHP,263,"Araştırma ve Geliştirme Giderleri",1530,
VUK_TDHP,264,"Özel Maliyetler",1530,
VUK_TDHP,267,"Diğer Maddi Olmayan Duran Varlıklar",1530,
VUK_TDHP,268,"Birikmiş Amortismanlar (-) [MODV]",1520,
VUK_TDHP,271,"Arama Giderleri",1550,
VUK_TDHP,280,"Gelecek Yıllara Ait Giderler",1550,
VUK_TDHP,281,"Gelir Tahakkukları (Uzun Vadeli)",1550,
VUK_TDHP,291,"Gelecek Yıllarda İndirilecek KDV",1550,
VUK_TDHP,293,"Gelecek Yıllar İhtiyacı Stoklar",1550,
VUK_TDHP,294,"Elden Çıkarılacak Stoklar ve Maddi Duran Varlıklar",1550,
VUK_TDHP,295,"Peşin Ödenen Vergiler ve Fonlar (Uzun Vadeli)",1550,
VUK_TDHP,297,"Diğer Çeşitli Duran Varlıklar",1550,
VUK_TDHP,298,"Stok Değer Düşüklüğü Karşılığı (-) [Duran]",1550,
VUK_TDHP,299,"Birikmiş Amortismanlar (-) [Diğer]",1520,
VUK_TDHP,303,"Uzun Vadeli Kredilerin Anapara Taksitleri ve Faizleri",2020,
VUK_TDHP,304,"Tahvil Anapara Borç Taksit ve Faizleri",2020,
VUK_TDHP,305,"Çıkarılmış Bonolar ve Senetler",2020,
